truth,pred,pred_sir,fecha
3001.0,2925.552569229214,3150.322712175588,2020-12-28
3714.0,7218.0,6015.0,2020-12-29
10824.0,8882.0,8878.0,2020-12-30
16381.0,11657.0,12021.0,2020-12-31
16994.0,1051.0,2181.0,2021-01-01
13313.0,2386.0,539.0,2021-01-02
3411.0,2335.0,907.0,2021-01-03
4971.0,3066.0,0.0,2021-01-04
6176.0,9976.0,3959.0,2021-01-05
12867.0,13591.0,6913.0,2021-01-06
17233.0,13119.0,10155.0,2021-01-07
17770.0,9504.0,416.0,2021-01-08
14891.0,623.0,0.0,2021-01-09
13113.0,4789.0,0.0,2021-01-10
8413.0,7971.834466296187,7860.860024457565,2021-01-11
8413.0,8327.678128081989,8083.998542253078,2021-01-11
4232.0,13476.0,11320.0,2021-01-12
4232.0,8869.0,11320.0,2021-01-12
9262.0,14580.0,5396.0,2021-01-13
9262.0,19151.0,5396.0,2021-01-13
10706.0,11760.0,8743.0,2021-01-14
10706.0,19155.0,8743.0,2021-01-14
10791.0,8633.0,0.0,2021-01-15
10791.0,15808.0,0.0,2021-01-15
8028.0,7811.0,0.0,2021-01-16
8028.0,13875.0,0.0,2021-01-16
9229.0,3663.0,0.0,2021-01-17
9229.0,8753.0,0.0,2021-01-17
5169.0,5026.0,0.0,2021-01-18
5169.0,2507.0,0.0,2021-01-18
