truth,pred,pred_sir,fecha
716.0,669.4110807885648,691.3678817300371,2021-01-11
716.0,741.8259289733484,653.4513309460918,2021-01-11
432.0,1047.0,1128.0,2021-01-12
432.0,698.0,1128.0,2021-01-12
1052.0,1088.0,387.0,2021-01-13
1052.0,1460.0,387.0,2021-01-13
1740.0,585.0,605.0,2021-01-14
1740.0,1097.0,605.0,2021-01-14
1678.0,445.0,501.0,2021-01-15
1678.0,830.0,501.0,2021-01-15
856.0,961.0,146.0,2021-01-16
856.0,1351.0,146.0,2021-01-16
3938.0,327.0,0.0,2021-01-17
3938.0,767.0,0.0,2021-01-17
670.0,552.0,1673.0,2021-01-18
670.0,273.0,1673.0,2021-01-18
160.0,1095.0,1268.0,2021-01-19
918.0,1912.0,1563.0,2021-01-20
1726.0,1978.0,1284.0,2021-01-21
1852.0,1165.0,1040.0,2021-01-22
952.0,4120.0,1472.0,2021-01-23
1048.0,1308.0,987.0,2021-01-24
3053.0,3118.4864677714468,3039.3509546563396,2021-01-25
3053.0,2921.110385810939,2893.27514933223,2021-01-25
273.0,924.0,1403.0,2021-01-26
273.0,625.0,1403.0,2021-01-26
567.0,1822.0,1699.0,2021-01-27
567.0,1147.0,1699.0,2021-01-27
1376.0,2029.0,1421.0,2021-01-28
1376.0,1206.0,1421.0,2021-01-28
2456.0,568.0,690.0,2021-01-29
2456.0,1039.0,690.0,2021-01-29
667.0,1207.0,1610.0,2021-01-30
667.0,663.0,1610.0,2021-01-30
3080.0,3154.0,1125.0,2021-01-31
3080.0,2046.0,1125.0,2021-01-31
1046.0,584.0,1948.0,2021-02-01
1046.0,86.0,1948.0,2021-02-01
