truth,pred,pred_sir,fecha
45.0,40.769552924142744,47.135288183368296,2021-02-08
45.0,41.48806012256251,45.95677319740577,2021-02-08
236.0,0.0,289.0,2021-02-09
236.0,0.0,289.0,2021-02-09
0.0,0.0,252.0,2021-02-10
0.0,0.0,252.0,2021-02-10
0.0,0.0,348.0,2021-02-11
0.0,0.0,348.0,2021-02-11
0.0,0.0,4.0,2021-02-12
0.0,0.0,4.0,2021-02-12
0.0,0.0,368.0,2021-02-13
0.0,0.0,368.0,2021-02-13
0.0,45.0,220.0,2021-02-14
0.0,7.0,220.0,2021-02-14
388.0,231.0,0.0,2021-02-15
388.0,41.0,0.0,2021-02-15
316.0,0.0,0.0,2021-02-16
117.0,0.0,300.0,2021-02-17
431.0,0.0,297.0,2021-02-18
115.0,0.0,218.0,2021-02-19
257.0,0.0,244.0,2021-02-20
170.0,388.0,97.0,2021-02-21
354.0,368.3877987498789,363.5428716637056,2021-02-22
354.0,386.50727144004065,325.91350938002785,2021-02-22
793.0,0.0,0.0,2021-02-23
793.0,117.0,0.0,2021-02-23
515.0,329.0,191.0,2021-02-24
515.0,30.0,191.0,2021-02-24
245.0,78.0,364.0,2021-02-25
245.0,46.0,364.0,2021-02-25
725.0,216.0,128.0,2021-02-26
725.0,0.0,128.0,2021-02-26
399.0,170.0,161.0,2021-02-27
399.0,0.0,161.0,2021-02-27
903.0,354.0,22.0,2021-02-28
903.0,0.0,22.0,2021-02-28
985.0,793.0,0.0,2021-03-01
985.0,69.0,0.0,2021-03-01
