truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-03-22
0.0,0.0,0.0,2021-03-22
0.0,0.0,0.0,2021-03-23
0.0,0.0,0.0,2021-03-23
0.0,0.0,0.0,2021-03-24
0.0,0.0,0.0,2021-03-24
0.0,0.0,21.0,2021-03-25
0.0,0.0,21.0,2021-03-25
0.0,0.0,28.0,2021-03-26
0.0,0.0,28.0,2021-03-26
0.0,0.0,82.0,2021-03-27
0.0,0.0,82.0,2021-03-27
0.0,0.0,195.0,2021-03-28
0.0,0.0,195.0,2021-03-28
0.0,0.0,0.0,2021-03-29
0.0,0.0,0.0,2021-03-29
0.0,0.0,569.0,2021-03-30
0.0,0.0,434.0,2021-03-31
0.0,0.0,373.0,2021-04-01
0.0,0.0,339.0,2021-04-02
0.0,0.0,316.0,2021-04-03
0.0,0.0,0.0,2021-04-04
0.0,0.0,0.0,2021-04-05
0.0,0.0,0.0,2021-04-05
0.0,0.0,374.0,2021-04-06
0.0,0.0,374.0,2021-04-06
0.0,0.0,411.0,2021-04-07
0.0,0.0,411.0,2021-04-07
0.0,0.0,207.0,2021-04-08
0.0,0.0,207.0,2021-04-08
0.0,0.0,187.0,2021-04-09
0.0,0.0,187.0,2021-04-09
0.0,0.0,176.0,2021-04-10
0.0,0.0,176.0,2021-04-10
0.0,0.0,0.0,2021-04-11
0.0,0.0,0.0,2021-04-11
0.0,0.0,0.0,2021-04-12
0.0,0.0,0.0,2021-04-12
