truth,pred,pred_sir,fecha
18033.0,19671.600338595283,17498.99324497176,2021-01-25
18033.0,19466.777734984546,19006.663653929572,2021-01-25
4234.0,23705.0,16740.0,2021-01-26
4234.0,15898.0,16740.0,2021-01-26
21867.0,28949.0,21738.0,2021-01-27
21867.0,17376.0,21738.0,2021-01-27
26932.0,25019.0,18526.0,2021-01-28
26932.0,14457.0,18526.0,2021-01-28
23274.0,18415.0,16307.0,2021-01-29
23274.0,25779.0,16307.0,2021-01-29
22794.0,27281.0,16787.0,2021-01-30
22794.0,14702.0,16787.0,2021-01-30
23868.0,20210.0,12938.0,2021-01-31
23868.0,11548.0,12938.0,2021-01-31
19094.0,5912.0,0.0,2021-02-01
19094.0,2324.0,0.0,2021-02-01
4353.0,21113.0,10234.0,2021-02-02
22671.0,20067.0,13824.0,2021-02-03
25906.0,16733.0,9905.0,2021-02-04
0.0,17294.0,10913.0,2021-02-05
45255.0,18110.0,11685.0,2021-02-06
19159.0,12978.0,6831.0,2021-02-07
19710.0,19147.96797658636,20189.60515049874,2021-02-08
19710.0,18876.542773062985,21185.88447310903,2021-02-08
4308.0,21147.0,5625.0,2021-02-09
4308.0,9566.0,5625.0,2021-02-09
18240.0,22502.0,9499.0,2021-02-10
18240.0,11905.0,9499.0,2021-02-10
25065.0,0.0,5870.0,2021-02-11
25065.0,0.0,5870.0,2021-02-11
20236.0,45255.0,7166.0,2021-02-12
20236.0,16541.0,7166.0,2021-02-12
19934.0,8524.0,9607.0,2021-02-13
19934.0,15857.0,9607.0,2021-02-13
20615.0,13421.0,3585.0,2021-02-14
20615.0,10744.0,3585.0,2021-02-14
15519.0,0.0,0.0,2021-02-15
15519.0,4308.0,0.0,2021-02-15
