truth,pred,pred_sir,fecha
13687.0,14716.33589349778,14832.729055488466,2021-03-22
13687.0,12647.1169866543,13233.888419971467,2021-03-22
7659.0,0.0,0.0,2021-03-23
7659.0,5356.0,0.0,2021-03-23
7421.0,1026.0,0.0,2021-03-24
7421.0,11896.0,0.0,2021-03-24
15753.0,0.0,0.0,2021-03-25
15753.0,17363.0,0.0,2021-03-25
22601.0,0.0,314.0,2021-03-26
22601.0,17348.0,314.0,2021-03-26
21514.0,0.0,983.0,2021-03-27
21514.0,15889.0,983.0,2021-03-27
20422.0,0.0,8488.0,2021-03-28
20422.0,13687.0,8488.0,2021-03-28
17118.0,0.0,0.0,2021-03-29
17118.0,7659.0,0.0,2021-03-29
9816.0,0.0,0.0,2021-03-30
9504.0,15753.0,5313.0,2021-03-31
17002.0,0.0,8701.0,2021-04-01
24241.0,21514.0,8386.0,2021-04-02
21831.0,0.0,6693.0,2021-04-03
18071.0,17118.0,4625.0,2021-04-04
12127.0,11339.647417402273,11195.400146290289,2021-04-05
12127.0,13096.836798472274,11052.250104331146,2021-04-05
8438.0,0.0,0.0,2021-04-06
8438.0,9504.0,0.0,2021-04-06
6851.0,0.0,11172.0,2021-04-07
6851.0,17002.0,11172.0,2021-04-07
9617.0,0.0,5335.0,2021-04-08
9617.0,24241.0,5335.0,2021-04-08
20346.0,0.0,5348.0,2021-04-09
20346.0,21831.0,5348.0,2021-04-09
25403.0,0.0,3933.0,2021-04-10
25403.0,18071.0,3933.0,2021-04-10
24035.0,0.0,2156.0,2021-04-11
24035.0,12127.0,2156.0,2021-04-11
17758.0,0.0,0.0,2021-04-12
17758.0,8438.0,0.0,2021-04-12
