truth,pred,pred_sir,fecha
1323.0,1380.848542884269,1279.5996577032317,2021-02-08
1323.0,1383.2682788925351,1406.4017600001675,2021-02-08
1115.0,32.0,0.0,2021-02-09
1115.0,225.0,0.0,2021-02-09
1007.0,703.0,97.0,2021-02-10
1007.0,351.0,97.0,2021-02-10
1241.0,1288.0,576.0,2021-02-11
1241.0,624.0,576.0,2021-02-11
1793.0,1194.0,399.0,2021-02-12
1793.0,586.0,399.0,2021-02-12
1813.0,1013.0,1079.0,2021-02-13
1813.0,952.0,1079.0,2021-02-13
1979.0,862.0,492.0,2021-02-14
1979.0,692.0,492.0,2021-02-14
1699.0,778.0,0.0,2021-02-15
1699.0,544.0,0.0,2021-02-15
1317.0,607.0,0.0,2021-02-16
813.0,794.0,81.0,2021-02-17
1494.0,1209.0,715.0,2021-02-18
2780.0,923.0,713.0,2021-02-19
2972.0,1299.0,733.0,2021-02-20
2853.0,737.0,604.0,2021-02-21
2809.0,2650.3829854545575,3075.1913438880733,2021-02-22
2809.0,2619.3126951373365,2691.494421359758,2021-02-22
2545.0,455.0,0.0,2021-02-23
2545.0,301.0,0.0,2021-02-23
1418.0,1258.0,0.0,2021-02-24
1418.0,51.0,0.0,2021-02-24
2544.0,2721.0,1566.0,2021-02-25
2544.0,570.0,1566.0,2021-02-25
4010.0,2508.0,453.0,2021-02-26
4010.0,44.0,453.0,2021-02-26
4196.0,2816.0,498.0,2021-02-27
4196.0,0.0,498.0,2021-02-27
4436.0,2809.0,392.0,2021-02-28
4436.0,0.0,392.0,2021-02-28
4087.0,2545.0,0.0,2021-03-01
4087.0,412.0,0.0,2021-03-01
