truth,pred,pred_sir,fecha
512.0,559.349255558226,472.11748291099246,2020-12-28
505.0,931.0,879.0,2020-12-29
836.0,878.0,1010.0,2020-12-30
1366.0,1019.0,1124.0,2020-12-31
1859.0,371.0,504.0,2021-01-01
711.0,290.0,229.0,2021-01-02
306.0,428.0,342.0,2021-01-03
565.0,380.0,0.0,2021-01-04
615.0,725.0,707.0,2021-01-05
817.0,1154.0,840.0,2021-01-06
1226.0,1518.0,957.0,2021-01-07
1372.0,256.0,342.0,2021-01-08
1234.0,229.0,71.0,2021-01-09
1167.0,496.0,188.0,2021-01-10
613.0,629.039979711042,674.0540645147117,2021-01-11
613.0,672.8152121602903,625.6673988548454,2021-01-11
327.0,868.0,816.0,2021-01-12
327.0,553.0,816.0,2021-01-12
876.0,1057.0,694.0,2021-01-13
876.0,1351.0,694.0,2021-01-13
1251.0,951.0,817.0,2021-01-14
1251.0,1478.0,817.0,2021-01-14
949.0,764.0,208.0,2021-01-15
949.0,1314.0,208.0,2021-01-15
1081.0,742.0,0.0,2021-01-16
1081.0,1241.0,0.0,2021-01-16
1028.0,206.0,62.0,2021-01-17
1028.0,633.0,62.0,2021-01-17
565.0,388.0,21.0,2021-01-18
565.0,199.0,21.0,2021-01-18
