truth,pred,pred_sir,fecha
1460.0,1424.9290199055172,1477.651571903256,2021-01-11
1460.0,1509.1197230264893,1397.7212714477953,2021-01-11
631.0,2116.0,1586.0,2021-01-12
631.0,1355.0,1586.0,2021-01-12
1208.0,2358.0,1948.0,2021-01-13
1208.0,2997.0,1948.0,2021-01-13
1778.0,1299.0,1775.0,2021-01-14
1778.0,2402.0,1775.0,2021-01-14
1285.0,1159.0,1146.0,2021-01-15
1285.0,2057.0,1146.0,2021-01-15
1185.0,1006.0,9.0,2021-01-16
1185.0,1778.0,9.0,2021-01-16
1145.0,855.0,140.0,2021-01-17
1145.0,1522.0,140.0,2021-01-17
778.0,740.0,0.0,2021-01-18
778.0,380.0,0.0,2021-01-18
453.0,1236.0,1317.0,2021-01-19
831.0,1871.0,2128.0,2021-01-20
1213.0,1415.0,1688.0,2021-01-21
1246.0,1275.0,1401.0,2021-01-22
1024.0,1219.0,1175.0,2021-01-23
1016.0,846.0,962.0,2021-01-24
771.0,696.9011124590941,755.4600915600497,2021-01-25
771.0,741.4750113632886,839.184883672583,2021-01-25
483.0,846.0,1132.0,2021-01-26
483.0,490.0,1132.0,2021-01-26
795.0,1244.0,1950.0,2021-01-27
795.0,714.0,1950.0,2021-01-27
1306.0,1293.0,1516.0,2021-01-28
1306.0,729.0,1516.0,2021-01-28
934.0,733.0,620.0,2021-01-29
934.0,1074.0,620.0,2021-01-29
846.0,1089.0,1015.0,2021-01-30
846.0,581.0,1015.0,2021-01-30
769.0,807.0,808.0,2021-01-31
769.0,441.0,808.0,2021-01-31
788.0,505.0,0.0,2021-02-01
788.0,271.0,0.0,2021-02-01
