truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-02-22
0.0,0.0,0.0,2021-02-22
267.0,0.0,22.0,2021-02-23
267.0,0.0,22.0,2021-02-23
50.0,92.0,53.0,2021-02-24
50.0,0.0,53.0,2021-02-24
202.0,62.0,148.0,2021-02-25
202.0,23.0,148.0,2021-02-25
60.0,20.0,50.0,2021-02-26
60.0,15.0,50.0,2021-02-26
112.0,0.0,0.0,2021-02-27
112.0,0.0,0.0,2021-02-27
0.0,0.0,0.0,2021-02-28
0.0,0.0,0.0,2021-02-28
0.0,267.0,0.0,2021-03-01
0.0,93.0,0.0,2021-03-01
196.0,0.0,0.0,2021-03-02
0.0,202.0,98.0,2021-03-03
92.0,0.0,86.0,2021-03-04
25.0,112.0,77.0,2021-03-05
0.0,0.0,0.0,2021-03-06
0.0,0.0,0.0,2021-03-07
0.0,0.0,0.0,2021-03-08
0.0,0.0,0.0,2021-03-08
92.0,0.0,4.0,2021-03-09
92.0,0.0,4.0,2021-03-09
0.0,92.0,52.0,2021-03-10
0.0,0.0,52.0,2021-03-10
0.0,25.0,47.0,2021-03-11
0.0,0.0,47.0,2021-03-11
0.0,0.0,96.0,2021-03-12
0.0,0.0,96.0,2021-03-12
0.0,0.0,0.0,2021-03-13
0.0,0.0,0.0,2021-03-13
0.0,0.0,0.0,2021-03-14
0.0,0.0,0.0,2021-03-14
0.0,92.0,0.0,2021-03-15
0.0,0.0,0.0,2021-03-15
