truth,pred,pred_sir,fecha
536.0,516.4926692389535,585.1048014808963,2021-01-11
536.0,585.9267145994861,548.8774943969155,2021-01-11
402.0,965.0,1011.0,2021-01-12
402.0,634.0,1011.0,2021-01-12
692.0,586.0,289.0,2021-01-13
692.0,854.0,289.0,2021-01-13
616.0,551.0,229.0,2021-01-14
616.0,879.0,229.0,2021-01-14
411.0,438.0,88.0,2021-01-15
411.0,758.0,88.0,2021-01-15
424.0,221.0,182.0,2021-01-16
424.0,476.0,182.0,2021-01-16
190.0,395.0,147.0,2021-01-17
190.0,590.0,147.0,2021-01-17
60.0,483.0,1377.0,2021-01-18
60.0,258.0,1377.0,2021-01-18
244.0,727.0,1112.0,2021-01-19
254.0,715.0,973.0,2021-01-20
269.0,508.0,1004.0,2021-01-21
211.0,492.0,898.0,2021-01-22
104.0,255.0,649.0,2021-01-23
47.0,94.0,740.0,2021-01-24
154.0,157.6189158441524,168.94965978866688,2021-01-25
154.0,165.92832105804374,162.1641544340707,2021-01-25
102.0,274.0,1219.0,2021-01-26
102.0,157.0,1219.0,2021-01-26
161.0,289.0,1081.0,2021-01-27
161.0,167.0,1081.0,2021-01-27
240.0,233.0,1114.0,2021-01-28
240.0,128.0,1114.0,2021-01-28
189.0,58.0,134.0,2021-01-29
189.0,111.0,134.0,2021-01-29
167.0,61.0,761.0,2021-01-30
167.0,25.0,761.0,2021-01-30
68.0,157.0,853.0,2021-01-31
68.0,95.0,853.0,2021-01-31
0.0,112.0,1598.0,2021-02-01
0.0,59.0,1598.0,2021-02-01
