truth,pred,pred_sir,fecha
13488.0,13159.615263422807,13913.848891940414,2021-03-08
13488.0,13108.86082019601,14568.031237447562,2021-03-08
6106.0,0.0,0.0,2021-03-09
6106.0,7873.0,0.0,2021-03-09
9851.0,4902.0,0.0,2021-03-10
9851.0,5504.0,0.0,2021-03-10
17180.0,7654.0,672.0,2021-03-11
17180.0,0.0,672.0,2021-03-11
21023.0,15751.0,6832.0,2021-03-12
21023.0,0.0,6832.0,2021-03-12
18782.0,14775.0,1638.0,2021-03-13
18782.0,0.0,1638.0,2021-03-13
20973.0,13488.0,968.0,2021-03-14
20973.0,0.0,968.0,2021-03-14
17173.0,6106.0,0.0,2021-03-15
17173.0,0.0,0.0,2021-03-15
10817.0,9851.0,0.0,2021-03-16
14281.0,0.0,0.0,2021-03-17
24949.0,21023.0,0.0,2021-03-18
27163.0,0.0,2440.0,2021-03-19
25887.0,20973.0,3488.0,2021-03-20
26371.0,0.0,4114.0,2021-03-21
21743.0,23844.56907815711,19701.012744594504,2021-03-22
21743.0,20410.690240644297,20056.830317765507,2021-03-22
14481.0,14281.0,0.0,2021-03-23
14481.0,0.0,0.0,2021-03-23
16577.0,24949.0,0.0,2021-03-24
16577.0,0.0,0.0,2021-03-24
30666.0,27163.0,0.0,2021-03-25
30666.0,0.0,0.0,2021-03-25
33998.0,25887.0,0.0,2021-03-26
33998.0,0.0,0.0,2021-03-26
34983.0,26371.0,1541.0,2021-03-27
34983.0,0.0,1541.0,2021-03-27
31614.0,21743.0,12286.0,2021-03-28
31614.0,0.0,12286.0,2021-03-28
29124.0,14481.0,0.0,2021-03-29
29124.0,0.0,0.0,2021-03-29
