truth,pred,pred_sir,fecha
737.0,804.7591371929105,698.7190879724466,2021-01-11
737.0,775.7868699395566,791.5648531119538,2021-01-11
298.0,2523.0,2251.0,2021-01-12
298.0,1637.0,2251.0,2021-01-12
1813.0,2851.0,973.0,2021-01-13
1813.0,3682.0,973.0,2021-01-13
2054.0,1604.0,983.0,2021-01-14
2054.0,3025.0,983.0,2021-01-14
1755.0,977.0,745.0,2021-01-15
1755.0,2135.0,745.0,2021-01-15
1504.0,1090.0,0.0,2021-01-16
1504.0,1944.0,0.0,2021-01-16
1499.0,28.0,0.0,2021-01-17
1499.0,739.0,0.0,2021-01-17
529.0,354.0,0.0,2021-01-18
529.0,170.0,0.0,2021-01-18
262.0,1826.0,2040.0,2021-01-19
1766.0,2197.0,2981.0,2021-01-20
1554.0,1886.0,2478.0,2021-01-21
1335.0,1603.0,1640.0,2021-01-22
1397.0,1575.0,1425.0,2021-01-23
1496.0,599.0,311.0,2021-01-24
492.0,498.1073052982644,487.6922941930169,2021-01-25
492.0,501.4645495630776,484.9948813837778,2021-01-25
407.0,1771.0,1821.0,2021-01-26
407.0,991.0,1821.0,2021-01-26
1591.0,1591.0,2765.0,2021-01-27
1591.0,852.0,2765.0,2021-01-27
1879.0,1364.0,2265.0,2021-01-28
1879.0,730.0,2265.0,2021-01-28
1565.0,1072.0,876.0,2021-01-29
1565.0,1426.0,876.0,2021-01-29
1262.0,1524.0,1218.0,2021-01-30
1262.0,791.0,1218.0,2021-01-30
1331.0,492.0,106.0,2021-01-31
1331.0,254.0,106.0,2021-01-31
563.0,401.0,0.0,2021-02-01
563.0,205.0,0.0,2021-02-01
