truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-04-19
0.0,0.0,0.0,2021-04-19
20898.0,0.0,0.0,2021-04-20
20898.0,6117.0,0.0,2021-04-20
0.0,0.0,1302.0,2021-04-21
0.0,10300.0,1302.0,2021-04-21
17503.0,0.0,438.0,2021-04-22
17503.0,9491.0,438.0,2021-04-22
10596.0,0.0,0.0,2021-04-23
10596.0,10423.0,0.0,2021-04-23
11508.0,0.0,3089.0,2021-04-24
11508.0,0.0,3089.0,2021-04-24
0.0,0.0,0.0,2021-04-25
0.0,0.0,0.0,2021-04-25
0.0,20898.0,8443.0,2021-04-26
0.0,0.0,8443.0,2021-04-26
19630.0,0.0,2855.0,2021-04-27
7396.0,17503.0,6890.0,2021-04-28
8399.0,0.0,5467.0,2021-04-29
9881.0,11508.0,5944.0,2021-04-30
8865.0,0.0,0.0,2021-05-01
0.0,0.0,0.0,2021-05-02
0.0,19630.0,5559.0,2021-05-03
16089.0,0.0,119.0,2021-05-04
4270.0,8399.0,4315.0,2021-05-05
6069.0,0.0,3087.0,2021-05-06
7711.0,8865.0,3756.0,2021-05-07
7938.0,0.0,0.0,2021-05-08
0.0,0.0,0.0,2021-05-09
0.0,16089.0,3401.0,2021-05-10
