truth,pred,pred_sir,fecha
7.0,7.638346450991552,7.641591067378949,2021-02-22
7.0,7.4539730575845216,7.150838586340193,2021-02-22
2.0,9372.0,5137.0,2021-02-23
2.0,0.0,5137.0,2021-02-23
10854.0,4133.0,229.0,2021-02-24
10854.0,0.0,229.0,2021-02-24
5267.0,4811.0,2640.0,2021-02-25
5267.0,568.0,2640.0,2021-02-25
4877.0,3541.0,0.0,2021-02-26
4877.0,0.0,0.0,2021-02-26
4718.0,0.0,0.0,2021-02-27
4718.0,0.0,0.0,2021-02-27
0.0,7.0,0.0,2021-02-28
0.0,0.0,0.0,2021-02-28
0.0,2.0,0.0,2021-03-01
0.0,0.0,0.0,2021-03-01
7.0,10854.0,4817.0,2021-03-02
11731.0,0.0,106.0,2021-03-03
6091.0,4877.0,1145.0,2021-03-04
4776.0,0.0,777.0,2021-03-05
4741.0,0.0,0.0,2021-03-06
0.0,0.0,0.0,2021-03-07
0.0,0.0,0.0,2021-03-08
0.0,0.0,0.0,2021-03-08
9.0,11731.0,6826.0,2021-03-09
9.0,0.0,6826.0,2021-03-09
10966.0,6091.0,0.0,2021-03-10
10966.0,0.0,0.0,2021-03-10
5850.0,4776.0,202.0,2021-03-11
5850.0,0.0,202.0,2021-03-11
5234.0,4741.0,1956.0,2021-03-12
5234.0,0.0,1956.0,2021-03-12
5271.0,0.0,0.0,2021-03-13
5271.0,0.0,0.0,2021-03-13
0.0,0.0,0.0,2021-03-14
0.0,0.0,0.0,2021-03-14
0.0,9.0,0.0,2021-03-15
0.0,0.0,0.0,2021-03-15
