truth,pred,pred_sir,fecha
0.0,0.0,0.0,2020-12-28
10067.0,2166.0,3433.0,2020-12-29
4187.0,4375.0,4228.0,2020-12-30
5411.0,3582.0,4107.0,2020-12-31
4384.0,0.0,0.0,2021-01-01
0.0,0.0,0.0,2021-01-02
0.0,0.0,0.0,2021-01-03
0.0,10067.0,0.0,2021-01-04
9660.0,1242.0,2647.0,2021-01-05
4015.0,5049.0,3485.0,2021-01-06
4810.0,2906.0,3407.0,2021-01-07
3981.0,0.0,0.0,2021-01-08
3226.0,0.0,0.0,2021-01-09
8.0,0.0,0.0,2021-01-10
0.0,0.0,0.0,2021-01-11
0.0,0.0,0.0,2021-01-11
6521.0,4921.0,3545.0,2021-01-12
6521.0,2563.0,3545.0,2021-01-12
2849.0,4054.0,2852.0,2021-01-13
2849.0,5338.0,2852.0,2021-01-13
2994.0,2395.0,2817.0,2021-01-14
2994.0,4290.0,2817.0,2021-01-14
2476.0,1949.0,0.0,2021-01-15
2476.0,3477.0,0.0,2021-01-15
2394.0,0.0,0.0,2021-01-16
2394.0,8.0,0.0,2021-01-16
0.0,0.0,0.0,2021-01-17
0.0,0.0,0.0,2021-01-17
0.0,6521.0,0.0,2021-01-18
0.0,4625.0,0.0,2021-01-18
