truth,pred,pred_sir,fecha
7814.0,7974.598604124765,7884.143438387551,2021-01-11
7814.0,7694.6877204068405,8042.003319900571,2021-01-11
8698.0,12450.0,11441.0,2021-01-12
13761.0,11042.0,11302.0,2021-01-13
12559.0,11603.0,11539.0,2021-01-14
13176.0,11051.0,11086.0,2021-01-15
12333.0,8842.0,8627.0,2021-01-16
8926.0,6029.0,5403.0,2021-01-17
7243.0,7483.0,0.0,2021-01-18
8159.0,12255.0,8879.0,2021-01-19
12038.0,10087.0,8704.0,2021-01-20
11996.0,11139.0,8990.0,2021-01-21
11289.0,10081.0,8539.0,2021-01-22
10528.0,6863.0,6134.0,2021-01-23
8085.0,5828.0,2941.0,2021-01-24
4921.0,6958.0,0.0,2021-01-25
4921.0,8859.0,0.0,2021-01-25
