truth,pred,pred_sir,fecha
2626.0,2586.008671502756,2681.877716059986,2021-03-08
2626.0,2373.480267752062,2521.7870937174735,2021-03-08
2112.0,1095.0,958.0,2021-03-09
1812.0,1986.0,1758.0,2021-03-10
2388.0,2100.0,1985.0,2021-03-11
2273.0,2049.0,1940.0,2021-03-12
2731.0,2003.0,1871.0,2021-03-13
2904.0,2372.0,2234.0,2021-03-14
2824.0,1818.0,0.0,2021-03-15
2325.0,1531.0,547.0,2021-03-16
1707.0,2157.0,1342.0,2021-03-17
2549.0,1943.0,1577.0,2021-03-18
2664.0,2441.0,1531.0,2021-03-19
3312.0,2549.0,1471.0,2021-03-20
3015.0,2464.0,1837.0,2021-03-21
3339.0,1987.0,0.0,2021-03-22
3339.0,2027.0,0.0,2021-03-22
