truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-10-04
0.0,0.0,0.0,2021-10-04
4658.0,5951.0,1737.0,2021-10-05
1708.0,7323.0,2404.0,2021-10-06
2564.0,8206.0,1506.0,2021-10-07
2433.0,9361.0,1362.0,2021-10-08
2370.0,8528.0,0.0,2021-10-09
0.0,8075.0,0.0,2021-10-10
0.0,12605.0,1303.0,2021-10-11
5454.0,14530.0,706.0,2021-10-12
2412.0,17807.0,1526.0,2021-10-13
3627.0,21701.0,666.0,2021-10-14
3488.0,26486.0,638.0,2021-10-15
3604.0,30168.0,0.0,2021-10-16
0.0,35100.0,0.0,2021-10-17
0.0,47059.0,534.0,2021-10-18
0.0,34072.0,534.0,2021-10-18
