truth,pred,pred_sir,fecha
1207.0,1236.5436010558335,1257.8215564171744,2021-11-15
1207.0,1135.7685780320721,1168.7859249283465,2021-11-15
3927.0,19966.0,3724.0,2021-11-16
2013.0,32208.0,3546.0,2021-11-17
2542.0,50409.0,986.0,2021-11-18
2686.0,81893.0,1964.0,2021-11-19
2595.0,130711.0,0.0,2021-11-20
1744.0,210271.0,0.0,2021-11-21
1395.0,341647.0,12902.0,2021-11-22
4076.0,545879.0,1437.0,2021-11-23
2226.0,846851.0,1417.0,2021-11-24
2722.0,1233778.0,0.0,2021-11-25
4185.0,1606597.0,0.0,2021-11-26
2925.0,1749391.0,0.0,2021-11-27
2050.0,1490736.0,0.0,2021-11-28
1661.0,982464.0,10238.0,2021-11-29
1661.0,0.0,10238.0,2021-11-29
