truth,pred,pred_sir,fecha
422.0,413.4892006595029,416.24055477402453,2021-05-03
422.0,431.6661378639911,385.711560848208,2021-05-03
19.0,588.0,468.0,2021-05-04
441.0,85.0,611.0,2021-05-05
465.0,729.0,656.0,2021-05-06
521.0,0.0,454.0,2021-05-07
406.0,760.0,546.0,2021-05-08
271.0,0.0,214.0,2021-05-09
348.0,19.0,0.0,2021-05-10
222.0,419.0,232.0,2021-05-11
227.0,0.0,372.0,2021-05-12
343.0,521.0,427.0,2021-05-13
215.0,0.0,229.0,2021-05-14
161.0,271.0,334.0,2021-05-15
127.0,21.0,11.0,2021-05-16
113.0,196.0,0.0,2021-05-17
113.0,0.0,0.0,2021-05-17
