truth,pred,pred_sir,fecha
303.0,283.79181750004324,297.1233757456999,2021-09-20
303.0,317.86111737794704,304.6305914125621,2021-09-20
175.0,297.0,305.0,2021-09-21
454.0,193.0,268.0,2021-09-22
568.0,289.0,126.0,2021-09-23
489.0,229.0,178.0,2021-09-24
441.0,162.0,63.0,2021-09-25
444.0,146.0,7.0,2021-09-26
412.0,37.0,0.0,2021-09-27
254.0,419.0,58.0,2021-09-28
633.0,191.0,82.0,2021-09-29
441.0,322.0,0.0,2021-09-30
700.0,167.0,65.0,2021-10-01
886.0,306.0,0.0,2021-10-02
778.0,166.0,0.0,2021-10-03
553.0,124.0,0.0,2021-10-04
553.0,340.0,0.0,2021-10-04
