truth,pred,pred_sir,fecha
359.0,375.19617974848694,325.8684102670361,2021-10-04
359.0,378.60930176988916,338.67128395653674,2021-10-04
375.0,1088.0,263.0,2021-10-05
465.0,1785.0,245.0,2021-10-06
169.0,2699.0,0.0,2021-10-07
592.0,4617.0,304.0,2021-10-08
435.0,7751.0,228.0,2021-10-09
403.0,12949.0,138.0,2021-10-10
522.0,21779.0,980.0,2021-10-11
553.0,36705.0,74.0,2021-10-12
261.0,61346.0,79.0,2021-10-13
0.0,100901.0,0.0,2021-10-14
251.0,158616.0,134.0,2021-10-15
298.0,228360.0,54.0,2021-10-16
166.0,281501.0,0.0,2021-10-17
560.0,272372.0,816.0,2021-10-18
560.0,42402.0,816.0,2021-10-18
