truth,pred,pred_sir,fecha
1686.0,1697.7710444948154,1615.271639951208,2021-03-22
1686.0,1619.967323551654,1716.7072464172215,2021-03-22
235.0,283.0,106.0,2021-03-23
677.0,2653.0,2481.0,2021-03-24
3186.0,1301.0,1546.0,2021-03-25
1807.0,1921.0,1902.0,2021-03-26
2710.0,809.0,897.0,2021-03-27
1189.0,1537.0,1420.0,2021-03-28
1724.0,0.0,0.0,2021-03-29
588.0,677.0,0.0,2021-03-30
2158.0,3053.0,2218.0,2021-03-31
1397.0,1211.0,1291.0,2021-04-01
1574.0,2473.0,1652.0,2021-04-02
1586.0,705.0,652.0,2021-04-03
1060.0,1586.0,1180.0,2021-04-04
2483.0,267.0,0.0,2021-04-05
2483.0,425.0,0.0,2021-04-05
