truth,pred,pred_sir,fecha
208.0,203.6583605732302,226.9473828255205,2021-11-01
208.0,212.089944325571,192.14694479327417,2021-11-01
344.0,415.0,75.0,2021-11-02
622.0,0.0,0.0,2021-11-03
216.0,71.0,0.0,2021-11-04
169.0,0.0,0.0,2021-11-05
280.0,276.0,0.0,2021-11-06
473.0,142.0,50.0,2021-11-07
233.0,315.0,0.0,2021-11-08
352.0,569.0,20.0,2021-11-09
748.0,141.0,0.0,2021-11-10
174.0,153.0,0.0,2021-11-11
344.0,268.0,0.0,2021-11-12
374.0,457.0,0.0,2021-11-13
520.0,222.0,36.0,2021-11-14
278.0,573.0,4441.0,2021-11-15
278.0,380.0,4441.0,2021-11-15
