truth,pred,pred_sir,fecha
2491.0,2627.879261390703,2737.226922060584,2021-06-14
2491.0,2548.17835727709,2260.397968658719,2021-06-14
619.0,4508.0,1787.0,2021-06-15
2715.0,0.0,405.0,2021-06-16
1452.0,4166.0,1189.0,2021-06-17
1680.0,0.0,901.0,2021-06-18
3089.0,3460.0,1284.0,2021-06-19
2549.0,0.0,652.0,2021-06-20
1789.0,619.0,0.0,2021-06-21
0.0,1785.0,369.0,2021-06-22
1886.0,0.0,0.0,2021-06-23
958.0,1680.0,241.0,2021-06-24
1917.0,602.0,202.0,2021-06-25
1664.0,1658.0,709.0,2021-06-26
2103.0,0.0,241.0,2021-06-27
1558.0,0.0,0.0,2021-06-28
1558.0,0.0,0.0,2021-06-28
