truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-11-01
0.0,0.0,0.0,2021-11-01
10962.0,330.0,344.0,2021-11-02
1422.0,2541.0,1613.0,2021-11-03
2227.0,3142.0,2405.0,2021-11-04
5933.0,3058.0,2217.0,2021-11-05
6507.0,0.0,0.0,2021-11-06
0.0,0.0,0.0,2021-11-07
0.0,10962.0,0.0,2021-11-08
17717.0,1589.0,0.0,2021-11-09
4363.0,2297.0,495.0,2021-11-10
8218.0,6099.0,1388.0,2021-11-11
8179.0,7106.0,1428.0,2021-11-12
8167.0,875.0,0.0,2021-11-13
0.0,133.0,0.0,2021-11-14
0.0,17826.0,33620.0,2021-11-15
0.0,21289.0,33620.0,2021-11-15
