truth,pred,pred_sir,fecha
1026.0,942.4530689215471,957.574433323954,2021-10-04
1026.0,1098.0659263959187,1081.6250715664767,2021-10-04
887.0,1937.0,1551.0,2021-10-05
1103.0,2313.0,1441.0,2021-10-06
950.0,2391.0,895.0,2021-10-07
1168.0,2309.0,438.0,2021-10-08
1960.0,2874.0,808.0,2021-10-09
1885.0,2778.0,196.0,2021-10-10
1342.0,2680.0,877.0,2021-10-11
1340.0,2933.0,876.0,2021-10-12
1409.0,3059.0,859.0,2021-10-13
2006.0,3483.0,321.0,2021-10-14
1575.0,4726.0,0.0,2021-10-15
1848.0,5809.0,308.0,2021-10-16
2123.0,6366.0,0.0,2021-10-17
1341.0,7059.0,409.0,2021-10-18
1341.0,3865.0,409.0,2021-10-18
