truth,pred,pred_sir,fecha
4500.0,4931.392083537932,4115.340059892845,2021-11-01
4500.0,4740.002370925088,4289.733352448187,2021-11-01
2799.0,7118.0,2739.0,2021-11-02
2775.0,8908.0,3014.0,2021-11-03
5152.0,10578.0,2131.0,2021-11-04
5868.0,12477.0,1955.0,2021-11-05
6709.0,13705.0,1322.0,2021-11-06
6704.0,14673.0,1253.0,2021-11-07
5794.0,14138.0,0.0,2021-11-08
4528.0,14134.0,242.0,2021-11-09
6063.0,16966.0,1087.0,2021-11-10
7983.0,20613.0,444.0,2021-11-11
8645.0,25282.0,650.0,2021-11-12
8478.0,30315.0,191.0,2021-11-13
8487.0,35076.0,370.0,2021-11-14
7534.0,61534.0,14631.0,2021-11-15
7534.0,67685.0,14631.0,2021-11-15
