truth,pred,pred_sir,fecha
761.0,830.6297563127629,792.7919772675001,2021-11-15
761.0,702.0607798073369,769.8900060402829,2021-11-15
410.0,1395.0,1459.0,2021-11-16
1062.0,1370.0,1574.0,2021-11-17
1484.0,1073.0,872.0,2021-11-18
1194.0,1163.0,632.0,2021-11-19
417.0,1191.0,603.0,2021-11-20
597.0,541.0,0.0,2021-11-21
486.0,313.0,0.0,2021-11-22
334.0,1008.0,741.0,2021-11-23
1275.0,1325.0,942.0,2021-11-24
1254.0,1015.0,284.0,2021-11-25
1066.0,295.0,120.0,2021-11-26
846.0,566.0,129.0,2021-11-27
905.0,434.0,0.0,2021-11-28
485.0,300.0,0.0,2021-11-29
485.0,0.0,0.0,2021-11-29
