truth,pred,pred_sir,fecha
803.0,826.1901808366613,732.3969448133108,2021-04-19
803.0,821.4308977490078,874.3713019080109,2021-04-19
574.0,523.0,759.0,2021-04-20
1100.0,826.0,1057.0,2021-04-21
1191.0,355.0,819.0,2021-04-22
1308.0,832.0,756.0,2021-04-23
1361.0,352.0,745.0,2021-04-24
1157.0,441.0,367.0,2021-04-25
921.0,113.0,0.0,2021-04-26
512.0,980.0,304.0,2021-04-27
1024.0,149.0,623.0,2021-04-28
1494.0,1150.0,412.0,2021-04-29
1409.0,148.0,376.0,2021-04-30
1317.0,999.0,395.0,2021-05-01
1396.0,0.0,46.0,2021-05-02
1034.0,512.0,0.0,2021-05-03
1034.0,0.0,0.0,2021-05-03
