truth,pred,pred_sir,fecha
1554.0,1407.382177067622,1433.971587945726,2021-10-04
1554.0,1430.3238934102324,1633.8554990476239,2021-10-04
1811.0,9733.0,1523.0,2021-10-05
1829.0,18979.0,1422.0,2021-10-06
2621.0,35995.0,1057.0,2021-10-07
2476.0,67782.0,777.0,2021-10-08
2362.0,127319.0,593.0,2021-10-09
2099.0,237260.0,672.0,2021-10-10
2699.0,430009.0,0.0,2021-10-11
2870.0,720024.0,748.0,2021-10-12
3697.0,1043284.0,764.0,2021-10-13
3362.0,1144829.0,433.0,2021-10-14
3586.0,818836.0,241.0,2021-10-15
3588.0,372105.0,88.0,2021-10-16
3553.0,135023.0,231.0,2021-10-17
3294.0,49717.0,0.0,2021-10-18
3294.0,0.0,0.0,2021-10-18
