truth,pred,pred_sir,fecha
2494.0,2447.584864455469,2266.801402021732,2021-10-18
2494.0,2368.2219171189963,2340.8088945356644,2021-10-18
1514.0,3751.0,1495.0,2021-10-19
3897.0,5123.0,1804.0,2021-10-20
5535.0,6544.0,1744.0,2021-10-21
5562.0,7467.0,1401.0,2021-10-22
5685.0,8763.0,1774.0,2021-10-23
6251.0,9227.0,1139.0,2021-10-24
4700.0,8848.0,0.0,2021-10-25
2928.0,11132.0,151.0,2021-10-26
6235.0,14921.0,585.0,2021-10-27
8336.0,18444.0,679.0,2021-10-28
8355.0,22058.0,435.0,2021-10-29
9378.0,26357.0,934.0,2021-10-30
9770.0,29348.0,384.0,2021-10-31
7118.0,31063.0,0.0,2021-11-01
7118.0,19488.0,0.0,2021-11-01
