truth,pred,pred_sir,fecha
3503.0,3562.3020052101774,3216.644267032259,2021-02-08
3503.0,3573.390012894211,3419.9944582738253,2021-02-08
2503.0,4031.0,2896.0,2021-02-09
2576.0,7296.0,6521.0,2021-02-10
4382.0,4678.0,5438.0,2021-02-11
3473.0,4838.0,4545.0,2021-02-12
2849.0,3992.0,3878.0,2021-02-13
2846.0,1760.0,1389.0,2021-02-14
1675.0,1741.0,0.0,2021-02-15
1302.0,1731.0,871.0,2021-02-16
1502.0,3549.0,4636.0,2021-02-17
2323.0,1760.0,3689.0,2021-02-18
1943.0,2007.0,2926.0,2021-02-19
1940.0,1893.0,2383.0,2021-02-20
1569.0,784.0,13.0,2021-02-21
1188.0,1339.0,0.0,2021-02-22
1188.0,684.0,0.0,2021-02-22
