truth,pred,pred_sir,fecha
4923.0,4674.34634541617,4740.873198627091,2021-03-08
4923.0,4923.666595197734,4501.67012293815,2021-03-08
2344.0,4207.0,3055.0,2021-03-09
4271.0,4126.0,3908.0,2021-03-10
4744.0,3008.0,2952.0,2021-03-11
2703.0,2432.0,1992.0,2021-03-12
2716.0,3970.0,3382.0,2021-03-13
4137.0,3303.0,3436.0,2021-03-14
4141.0,1009.0,0.0,2021-03-15
2575.0,3870.0,1621.0,2021-03-16
3244.0,3221.0,2553.0,2021-03-17
3640.0,1344.0,1688.0,2021-03-18
2307.0,2158.0,804.0,2021-03-19
1427.0,3234.0,2277.0,2021-03-20
3296.0,2804.0,2403.0,2021-03-21
3132.0,1431.0,0.0,2021-03-22
3132.0,1950.0,0.0,2021-03-22
