truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-08-23
0.0,0.0,0.0,2021-08-23
23811.0,0.0,14338.0,2021-08-24
9958.0,11867.0,10615.0,2021-08-25
10662.0,0.0,4996.0,2021-08-26
6998.0,12360.0,3281.0,2021-08-27
9371.0,0.0,0.0,2021-08-28
0.0,0.0,0.0,2021-08-29
0.0,23811.0,9453.0,2021-08-30
15372.0,0.0,4433.0,2021-08-31
7645.0,10662.0,2744.0,2021-09-01
6697.0,0.0,0.0,2021-09-02
9438.0,9371.0,0.0,2021-09-03
6186.0,0.0,0.0,2021-09-04
0.0,0.0,0.0,2021-09-05
0.0,15372.0,4593.0,2021-09-06
0.0,0.0,4593.0,2021-09-06
