truth,pred,pred_sir,fecha
2.0,2.116309139993161,1.8776170196738413,2021-01-25
2.0,1.9323347049963229,2.130121047019637,2021-01-25
10.0,9748.0,8854.0,2021-01-26
9068.0,5264.0,3803.0,2021-01-27
4103.0,5228.0,4170.0,2021-01-28
4001.0,4464.0,3512.0,2021-01-29
2307.0,274.0,0.0,2021-01-30
0.0,19.0,0.0,2021-01-31
0.0,11.0,0.0,2021-02-01
2.0,9068.0,8349.0,2021-02-02
9557.0,4692.0,3320.0,2021-02-03
4174.0,4303.0,3707.0,2021-02-04
3601.0,2583.0,3061.0,2021-02-05
3194.0,168.0,0.0,2021-02-06
0.0,11.0,0.0,2021-02-07
0.0,2.0,0.0,2021-02-08
0.0,1.0,0.0,2021-02-08
