truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-01-25
0.0,0.0,0.0,2021-01-25
4325.0,2667.0,1879.0,2021-01-26
1893.0,2967.0,2404.0,2021-01-27
2216.0,2454.0,1898.0,2021-01-28
1706.0,2353.0,1877.0,2021-01-29
1928.0,188.0,0.0,2021-01-30
4.0,15.0,0.0,2021-01-31
6.0,4326.0,0.0,2021-02-01
3778.0,2214.0,1650.0,2021-02-02
1643.0,2380.0,2185.0,2021-02-03
1805.0,1887.0,1688.0,2021-02-04
1768.0,2068.0,1674.0,2021-02-05
1590.0,149.0,0.0,2021-02-06
5.0,16.0,0.0,2021-02-07
5.0,3779.0,0.0,2021-02-08
5.0,2520.0,0.0,2021-02-08
