truth,pred,pred_sir,fecha
32929.0,34053.26164395281,35501.98902566642,2021-08-09
32929.0,36016.36544023211,30455.77267750051,2021-08-09
156356.0,93795.0,107865.0,2021-08-10
114128.0,100273.0,93640.0,2021-08-11
150095.0,109885.0,44893.0,2021-08-12
138738.0,255217.0,164045.0,2021-08-13
222029.0,81491.0,0.0,2021-08-14
68872.0,41842.0,0.0,2021-08-15
44394.0,161951.0,104717.0,2021-08-16
190688.0,139330.0,22954.0,2021-08-17
146194.0,175184.0,20275.0,2021-08-18
161816.0,174671.0,0.0,2021-08-19
149500.0,261754.0,106220.0,2021-08-20
233405.0,133954.0,0.0,2021-08-21
87744.0,80723.0,0.0,2021-08-22
41076.0,214483.0,50441.0,2021-08-23
41076.0,99964.0,50441.0,2021-08-23
