truth,pred,pred_sir,fecha
2079.0,2145.6001568894585,1991.714269078103,2021-04-19
2079.0,2128.0708153777186,2049.3820258532496,2021-04-19
1743.0,838.0,1473.0,2021-04-20
1743.0,755.0,1473.0,2021-04-20
1736.0,1383.0,973.0,2021-04-21
1736.0,255.0,973.0,2021-04-21
1812.0,2763.0,1237.0,2021-04-22
1812.0,0.0,1237.0,2021-04-22
2252.0,2538.0,1417.0,2021-04-23
2252.0,0.0,1417.0,2021-04-23
2331.0,2152.0,1056.0,2021-04-24
2331.0,0.0,1056.0,2021-04-24
2195.0,2079.0,1221.0,2021-04-25
2195.0,394.0,1221.0,2021-04-25
1605.0,1259.0,0.0,2021-04-26
1605.0,753.0,0.0,2021-04-26
1531.0,774.0,673.0,2021-04-27
1217.0,832.0,736.0,2021-04-28
1549.0,1199.0,1553.0,2021-04-29
1914.0,828.0,1047.0,2021-04-30
1787.0,1168.0,607.0,2021-05-01
1761.0,171.0,579.0,2021-05-02
1276.0,1323.0,0.0,2021-05-03
1152.0,0.0,62.0,2021-05-04
725.0,1549.0,175.0,2021-05-05
1064.0,0.0,1048.0,2021-05-06
1333.0,1787.0,595.0,2021-05-07
1010.0,0.0,202.0,2021-05-08
1005.0,1276.0,220.0,2021-05-09
773.0,0.0,0.0,2021-05-10
