truth,pred,pred_sir,fecha
841.0,779.6867376022161,807.0710872258044,2020-12-28
861.0,2633.0,2095.0,2020-12-29
1670.0,4125.0,3142.0,2020-12-30
2838.0,4028.0,2543.0,2020-12-31
2229.0,3741.0,2332.0,2021-01-01
1794.0,2044.0,756.0,2021-01-02
914.0,1546.0,852.0,2021-01-03
851.0,1396.0,18.0,2021-01-04
884.0,2155.0,2132.0,2021-01-05
1853.0,3590.0,3191.0,2021-01-06
3013.0,3483.0,2607.0,2021-01-07
2936.0,3012.0,2409.0,2021-01-08
2082.0,1969.0,841.0,2021-01-09
2015.0,1543.0,944.0,2021-01-10
1593.0,1615.2908205494232,1621.952061733668,2021-01-11
1593.0,1616.680024283476,1641.809781206483,2021-01-11
979.0,1410.0,695.0,2021-01-12
979.0,2358.0,695.0,2021-01-12
2114.0,3860.0,3286.0,2021-01-13
2114.0,1198.0,3286.0,2021-01-13
2945.0,3368.0,2707.0,2021-01-14
2945.0,1358.0,2707.0,2021-01-14
2657.0,2575.0,2500.0,2021-01-15
2657.0,881.0,2500.0,2021-01-15
2217.0,2337.0,939.0,2021-01-16
2217.0,930.0,939.0,2021-01-16
2146.0,1935.0,1049.0,2021-01-17
2146.0,700.0,1049.0,2021-01-17
1647.0,657.0,0.0,2021-01-18
1647.0,1224.0,0.0,2021-01-18
