truth,pred,pred_sir,fecha
2353.0,2358.3267131863627,2223.2635938355124,2021-02-22
2353.0,2163.7456144028924,2523.4473280986444,2021-02-22
3526.0,1111.0,0.0,2021-02-23
3526.0,3367.0,0.0,2021-02-23
2922.0,0.0,0.0,2021-02-24
2922.0,2800.0,0.0,2021-02-24
2985.0,2201.0,2767.0,2021-02-25
2985.0,331.0,2767.0,2021-02-25
3080.0,2620.0,665.0,2021-02-26
3080.0,1947.0,665.0,2021-02-26
3007.0,0.0,78.0,2021-02-27
3007.0,2484.0,78.0,2021-02-27
2399.0,0.0,149.0,2021-02-28
2399.0,2353.0,149.0,2021-02-28
2037.0,2516.0,0.0,2021-03-01
2037.0,8.0,0.0,2021-03-01
3484.0,2918.0,2556.0,2021-03-02
3063.0,1737.0,1558.0,2021-03-03
2880.0,2338.0,2217.0,2021-03-04
3199.0,2009.0,1921.0,2021-03-05
3254.0,1542.0,1356.0,2021-03-06
2420.0,1380.0,1262.0,2021-03-07
2053.0,2247.1807421928975,2242.218710600668,2021-03-08
2053.0,2219.9316879802163,2165.523834806061,2021-03-08
3512.0,3959.0,3873.0,2021-03-09
3512.0,1369.0,3873.0,2021-03-09
2779.0,2294.0,1091.0,2021-03-10
2779.0,3376.0,1091.0,2021-03-10
2943.0,1756.0,1768.0,2021-03-11
2943.0,3582.0,1768.0,2021-03-11
3153.0,4039.0,4293.0,2021-03-12
3153.0,1540.0,4293.0,2021-03-12
3381.0,1768.0,940.0,2021-03-13
3381.0,2813.0,940.0,2021-03-13
2303.0,867.0,863.0,2021-03-14
2303.0,2248.0,863.0,2021-03-14
1904.0,4020.0,12577.0,2021-03-15
1904.0,1828.0,12577.0,2021-03-15
