truth,pred,pred_sir,fecha
616.0,576.7177984859865,651.5488071161632,2020-12-28
315.0,1889.0,1418.0,2020-12-29
1346.0,3398.0,2619.0,2020-12-30
1849.0,3361.0,2103.0,2020-12-31
2388.0,2752.0,1575.0,2021-01-01
1170.0,1250.0,306.0,2021-01-02
249.0,1025.0,599.0,2021-01-03
689.0,651.0,0.0,2021-01-04
354.0,1560.0,1438.0,2021-01-05
1062.0,2364.0,2651.0,2021-01-06
1891.0,3164.0,2156.0,2021-01-07
556.0,2200.0,1639.0,2021-01-08
1086.0,962.0,385.0,2021-01-09
1400.0,1002.0,690.0,2021-01-10
640.0,583.2765537834548,665.2156469407985,2021-01-11
640.0,675.6730106804614,675.5081679166404,2021-01-11
218.0,878.0,401.0,2021-01-12
218.0,1353.0,401.0,2021-01-12
743.0,2340.0,2747.0,2021-01-13
743.0,678.0,2747.0,2021-01-13
1121.0,781.0,2258.0,2021-01-14
1121.0,153.0,2258.0,2021-01-14
956.0,1137.0,1735.0,2021-01-15
956.0,502.0,1735.0,2021-01-15
678.0,1569.0,489.0,2021-01-16
678.0,597.0,489.0,2021-01-16
705.0,843.0,804.0,2021-01-17
705.0,211.0,804.0,2021-01-17
306.0,111.0,0.0,2021-01-18
306.0,256.0,0.0,2021-01-18
