truth,pred,pred_sir,fecha
21.0,20.392549163582107,20.39816893969068,2020-12-28
266.0,392.0,327.0,2020-12-29
750.0,528.0,447.0,2020-12-30
905.0,649.0,527.0,2020-12-31
1029.0,642.0,494.0,2021-01-01
760.0,259.0,123.0,2021-01-02
164.0,104.0,100.0,2021-01-03
626.0,299.0,900.0,2021-01-04
526.0,846.0,418.0,2021-01-05
663.0,1174.0,543.0,2021-01-06
566.0,1395.0,631.0,2021-01-07
571.0,1184.0,604.0,2021-01-08
428.0,516.0,240.0,2021-01-09
467.0,778.0,224.0,2021-01-10
336.0,303.4972753803452,314.8476122558716,2021-01-11
336.0,329.36463845400255,364.8483832427424,2021-01-11
332.0,379.0,554.0,2021-01-12
332.0,771.0,554.0,2021-01-12
279.0,784.0,680.0,2021-01-13
279.0,166.0,680.0,2021-01-13
249.0,617.0,774.0,2021-01-14
249.0,254.0,774.0,2021-01-14
218.0,497.0,749.0,2021-01-15
218.0,172.0,749.0,2021-01-15
238.0,513.0,392.0,2021-01-16
238.0,201.0,392.0,2021-01-16
233.0,390.0,384.0,2021-01-17
233.0,133.0,384.0,2021-01-17
194.0,263.0,0.0,2021-01-18
194.0,402.0,0.0,2021-01-18
