truth,pred,pred_sir,fecha
757.0,772.1993846965827,770.4351769495017,2021-01-25
757.0,827.0634264238129,683.854371348224,2021-01-25
623.0,346.0,341.0,2021-01-26
623.0,642.0,341.0,2021-01-26
648.0,536.0,673.0,2021-01-27
648.0,760.0,673.0,2021-01-27
590.0,352.0,398.0,2021-01-28
590.0,681.0,398.0,2021-01-28
665.0,625.0,561.0,2021-01-29
665.0,444.0,561.0,2021-01-29
424.0,640.0,488.0,2021-01-30
424.0,735.0,488.0,2021-01-30
425.0,367.0,76.0,2021-01-31
425.0,677.0,76.0,2021-01-31
376.0,265.0,0.0,2021-02-01
376.0,566.0,0.0,2021-02-01
486.0,486.0,276.0,2021-02-02
399.0,451.0,461.0,2021-02-03
421.0,537.0,369.0,2021-02-04
549.0,272.0,414.0,2021-02-05
460.0,348.0,537.0,2021-02-06
386.0,279.0,437.0,2021-02-07
428.0,444.8188960680441,454.8508924144796,2021-02-08
428.0,428.8394960308076,413.7873928374869,2021-02-08
424.0,399.0,152.0,2021-02-09
424.0,0.0,152.0,2021-02-09
360.0,421.0,344.0,2021-02-10
360.0,0.0,344.0,2021-02-10
458.0,549.0,257.0,2021-02-11
458.0,0.0,257.0,2021-02-11
480.0,460.0,307.0,2021-02-12
480.0,0.0,307.0,2021-02-12
407.0,386.0,157.0,2021-02-13
407.0,258.0,157.0,2021-02-13
285.0,343.0,341.0,2021-02-14
285.0,0.0,341.0,2021-02-14
289.0,424.0,0.0,2021-02-15
289.0,0.0,0.0,2021-02-15
