truth,pred,pred_sir,fecha
2483.0,2662.80028509971,2282.9983202115423,2021-04-05
2483.0,2481.8960124260648,2523.2652862751465,2021-04-05
1082.0,1919.0,0.0,2021-04-06
1082.0,1323.0,0.0,2021-04-06
901.0,817.0,1174.0,2021-04-07
901.0,1019.0,1174.0,2021-04-07
1873.0,1102.0,817.0,2021-04-08
1873.0,1088.0,817.0,2021-04-08
1963.0,1081.0,1205.0,2021-04-09
1963.0,1105.0,1205.0,2021-04-09
973.0,544.0,215.0,2021-04-10
973.0,817.0,215.0,2021-04-10
2143.0,2101.0,762.0,2021-04-11
2143.0,1543.0,762.0,2021-04-11
1918.0,359.0,0.0,2021-04-12
1918.0,922.0,0.0,2021-04-12
243.0,490.0,1643.0,2021-04-13
502.0,1654.0,867.0,2021-04-14
2929.0,1226.0,1027.0,2021-04-15
4844.0,415.0,1025.0,2021-04-16
460.0,1952.0,478.0,2021-04-17
2160.0,1019.0,1896.0,2021-04-18
2317.0,2197.2375323544984,2163.6263732002535,2021-04-19
2317.0,2483.6297595968526,2112.4250829639577,2021-04-19
0.0,389.0,1332.0,2021-04-20
0.0,138.0,1332.0,2021-04-20
569.0,2864.0,563.0,2021-04-21
569.0,254.0,563.0,2021-04-21
1668.0,4725.0,729.0,2021-04-22
1668.0,430.0,729.0,2021-04-22
2511.0,258.0,735.0,2021-04-23
2511.0,217.0,735.0,2021-04-23
5803.0,2057.0,198.0,2021-04-24
5803.0,226.0,198.0,2021-04-24
1362.0,2104.0,1530.0,2021-04-25
1362.0,1316.0,1530.0,2021-04-25
595.0,0.0,0.0,2021-04-26
595.0,0.0,0.0,2021-04-26
