truth,pred,pred_sir,fecha
37.0,33.6463670248702,40.48341267650269,2021-01-25
37.0,33.32856660117593,34.62149176362666,2021-01-25
125.0,312.0,102.0,2021-01-26
125.0,304.0,102.0,2021-01-26
506.0,166.0,0.0,2021-01-27
506.0,282.0,0.0,2021-01-27
305.0,0.0,255.0,2021-01-28
305.0,0.0,255.0,2021-01-28
378.0,371.0,351.0,2021-01-29
378.0,193.0,351.0,2021-01-29
410.0,87.0,79.0,2021-01-30
410.0,164.0,79.0,2021-01-30
0.0,0.0,0.0,2021-01-31
0.0,37.0,0.0,2021-01-31
0.0,107.0,0.0,2021-02-01
0.0,106.0,0.0,2021-02-01
0.0,487.0,326.0,2021-02-02
0.0,219.0,271.0,2021-02-03
0.0,339.0,0.0,2021-02-04
0.0,350.0,321.0,2021-02-05
0.0,0.0,127.0,2021-02-06
0.0,0.0,0.0,2021-02-07
0.0,0.0,0.0,2021-02-08
0.0,0.0,0.0,2021-02-08
36.0,0.0,294.0,2021-02-09
36.0,0.0,294.0,2021-02-09
0.0,0.0,240.0,2021-02-10
0.0,0.0,240.0,2021-02-10
0.0,0.0,0.0,2021-02-11
0.0,0.0,0.0,2021-02-11
0.0,0.0,290.0,2021-02-12
0.0,0.0,290.0,2021-02-12
0.0,0.0,0.0,2021-02-13
0.0,0.0,0.0,2021-02-13
0.0,0.0,0.0,2021-02-14
0.0,0.0,0.0,2021-02-14
0.0,36.0,57.0,2021-02-15
0.0,0.0,57.0,2021-02-15
