truth,pred,pred_sir,fecha
13725.0,12737.667469199787,13337.942039042291,2020-12-28
10945.0,26393.0,23231.0,2020-12-29
12858.0,33613.0,28751.0,2020-12-30
22427.0,43432.0,36585.0,2020-12-31
32513.0,14436.0,5055.0,2021-01-01
0.0,44753.0,45504.0,2021-01-02
35586.0,28452.0,19635.0,2021-01-03
10290.0,20265.0,62415.0,2021-01-04
9827.0,19480.0,29919.0,2021-01-05
11871.0,28779.0,35802.0,2021-01-06
21224.0,41853.0,44108.0,2021-01-07
26386.0,13472.0,12938.0,2021-01-08
31842.0,39920.0,53861.0,2021-01-09
24680.0,23034.0,28363.0,2021-01-10
16934.0,18414.427997644147,18367.650415639837,2021-01-11
16934.0,16198.511850949959,16390.862420382084,2021-01-11
12479.0,6932.0,4106.0,2021-01-12
12479.0,14088.0,4106.0,2021-01-12
12785.0,25728.0,45507.0,2021-01-13
12785.0,8271.0,45507.0,2021-01-13
19589.0,29023.0,54175.0,2021-01-14
19589.0,11744.0,54175.0,2021-01-14
25155.0,35569.0,23252.0,2021-01-15
25155.0,13834.0,23252.0,2021-01-15
22352.0,29040.0,64628.0,2021-01-16
22352.0,9936.0,64628.0,2021-01-16
18669.0,20053.0,39624.0,2021-01-17
18669.0,6744.0,39624.0,2021-01-17
13872.0,9055.0,0.0,2021-01-18
13872.0,15322.0,0.0,2021-01-18
