truth,pred,pred_sir,fecha
5347.0,5137.583202272061,5444.385318263869,2021-04-05
5347.0,5797.986370111669,5673.44916715637,2021-04-05
3016.0,0.0,573.0,2021-04-06
3016.0,3610.0,573.0,2021-04-06
604.0,290.0,6123.0,2021-04-07
604.0,5560.0,6123.0,2021-04-07
410.0,0.0,1325.0,2021-04-08
410.0,8477.0,1325.0,2021-04-08
3123.0,0.0,5408.0,2021-04-09
3123.0,8241.0,5408.0,2021-04-09
5490.0,0.0,5562.0,2021-04-10
5490.0,7668.0,5562.0,2021-04-10
6161.0,0.0,5197.0,2021-04-11
6161.0,5347.0,5197.0,2021-04-11
4725.0,0.0,0.0,2021-04-12
4725.0,3016.0,0.0,2021-04-12
3904.0,0.0,2623.0,2021-04-13
1096.0,410.0,4617.0,2021-04-14
1765.0,2440.0,6595.0,2021-04-15
3290.0,1403.0,5953.0,2021-04-16
3340.0,3791.0,4932.0,2021-04-17
2700.0,0.0,2477.0,2021-04-18
2127.0,2222.264670922464,2152.1725269060644,2021-04-19
2127.0,2306.645783460133,2123.7505424063024,2021-04-19
2019.0,1096.0,904.0,2021-04-20
2019.0,0.0,904.0,2021-04-20
470.0,1765.0,2908.0,2021-04-21
470.0,0.0,2908.0,2021-04-21
647.0,3290.0,4947.0,2021-04-22
647.0,0.0,4947.0,2021-04-22
1396.0,3340.0,4356.0,2021-04-23
1396.0,0.0,4356.0,2021-04-23
1102.0,2700.0,3415.0,2021-04-24
1102.0,0.0,3415.0,2021-04-24
453.0,2127.0,1220.0,2021-04-25
453.0,0.0,1220.0,2021-04-25
25.0,2019.0,0.0,2021-04-26
25.0,0.0,0.0,2021-04-26
