truth,pred,pred_sir,fecha
730.0,658.7769889137157,704.1331124820208,2020-12-28
761.0,1299.0,1434.0,2020-12-29
1537.0,1374.0,1433.0,2020-12-30
1712.0,1387.0,1441.0,2020-12-31
1616.0,1499.0,1561.0,2021-01-01
1743.0,1803.0,1842.0,2021-01-02
3390.0,1341.0,1296.0,2021-01-03
4953.0,1214.0,3957.0,2021-01-04
6099.0,1945.0,2022.0,2021-01-05
5317.0,2362.0,2025.0,2021-01-06
7823.0,2398.0,2036.0,2021-01-07
6498.0,2530.0,2158.0,2021-01-08
8226.0,4212.0,2454.0,2021-01-09
4838.0,6297.0,1919.0,2021-01-10
6881.0,6508.830717385062,6890.444803470241,2021-01-11
6881.0,7206.957321105097,6327.322216881558,2021-01-11
4922.0,2055.0,5473.0,2021-01-12
4922.0,5920.0,5473.0,2021-01-12
3040.0,9513.0,2704.0,2021-01-13
3040.0,3250.0,2704.0,2021-01-13
3541.0,7368.0,2748.0,2021-01-14
3541.0,2860.0,2748.0,2021-01-14
3901.0,8952.0,2893.0,2021-01-15
3901.0,3676.0,2893.0,2021-01-15
3488.0,5708.0,3209.0,2021-01-16
3488.0,1874.0,3209.0,2021-01-16
3223.0,7306.0,2691.0,2021-01-17
3223.0,3009.0,2691.0,2021-01-17
2939.0,3318.0,3493.0,2021-01-18
2939.0,5617.0,3493.0,2021-01-18
