truth,pred,pred_sir,fecha
20722.0,19065.283328147947,21795.335588715607,2021-03-08
20722.0,18720.505479252202,22657.66240247923,2021-03-08
13890.0,18647.0,21988.0,2021-03-09
13890.0,7131.0,21988.0,2021-03-09
19695.0,17049.0,3054.0,2021-03-10
19695.0,22684.0,3054.0,2021-03-10
22212.0,10636.0,5105.0,2021-03-11
22212.0,23929.0,5105.0,2021-03-11
25562.0,26382.0,29516.0,2021-03-12
25562.0,9580.0,29516.0,2021-03-12
26692.0,18323.0,6957.0,2021-03-13
26692.0,25210.0,6957.0,2021-03-13
25950.0,6696.0,5841.0,2021-03-14
25950.0,21265.0,5841.0,2021-03-14
21307.0,15493.0,57170.0,2021-03-15
21307.0,5076.0,57170.0,2021-03-15
15257.0,20030.0,28341.0,2021-03-16
20320.0,23449.0,32569.0,2021-03-17
22968.0,26954.0,34917.0,2021-03-18
24815.0,28079.0,36453.0,2021-03-19
25617.0,27194.0,36446.0,2021-03-20
23832.0,22292.0,34003.0,2021-03-21
20044.0,20505.244593121977,20254.21769968566,2021-03-22
20044.0,19226.003692891292,21764.944452988948,2021-03-22
24514.0,20560.0,36087.0,2021-03-23
24514.0,6707.0,36087.0,2021-03-23
18671.0,22983.0,40532.0,2021-03-24
18671.0,7485.0,40532.0,2021-03-24
21158.0,24765.0,43099.0,2021-03-25
21158.0,8018.0,43099.0,2021-03-25
23567.0,25495.0,44870.0,2021-03-26
23567.0,8044.0,44870.0,2021-03-26
24073.0,23596.0,45082.0,2021-03-27
24073.0,7233.0,45082.0,2021-03-27
23740.0,14907.0,14439.0,2021-03-28
23740.0,19240.0,14439.0,2021-03-28
19600.0,23283.0,73845.0,2021-03-29
19600.0,7368.0,73845.0,2021-03-29
