truth,pred,pred_sir,fecha
316.0,331.86524133060686,294.25780505177767,2021-03-08
316.0,311.32335090071626,340.8190927805357,2021-03-08
193.0,698.0,663.0,2021-03-09
193.0,330.0,663.0,2021-03-09
448.0,712.0,441.0,2021-03-10
448.0,997.0,441.0,2021-03-10
574.0,10.0,61.0,2021-03-11
574.0,452.0,61.0,2021-03-11
529.0,665.0,627.0,2021-03-12
529.0,282.0,627.0,2021-03-12
537.0,371.0,590.0,2021-03-13
537.0,567.0,590.0,2021-03-13
502.0,61.0,34.0,2021-03-14
502.0,327.0,34.0,2021-03-14
290.0,253.0,503.0,2021-03-15
290.0,78.0,503.0,2021-03-15
174.0,462.0,742.0,2021-03-16
584.0,657.0,975.0,2021-03-17
714.0,646.0,585.0,2021-03-18
308.0,650.0,725.0,2021-03-19
471.0,613.0,661.0,2021-03-20
509.0,388.0,494.0,2021-03-21
253.0,232.94107025048763,228.61567572499467,2021-03-22
253.0,257.58362017982546,249.73789595086524,2021-03-22
171.0,607.0,867.0,2021-03-23
171.0,242.0,867.0,2021-03-23
457.0,745.0,1108.0,2021-03-24
457.0,295.0,1108.0,2021-03-24
644.0,347.0,723.0,2021-03-25
644.0,114.0,723.0,2021-03-25
397.0,486.0,869.0,2021-03-26
397.0,199.0,869.0,2021-03-26
522.0,535.0,813.0,2021-03-27
522.0,207.0,813.0,2021-03-27
576.0,134.0,123.0,2021-03-28
576.0,268.0,123.0,2021-03-28
320.0,197.0,787.0,2021-03-29
320.0,52.0,787.0,2021-03-29
