truth,pred,pred_sir,fecha
424.0,385.0920463046247,450.83250344697734,2021-02-08
424.0,450.0814105927573,385.92541978867854,2021-02-08
289.0,633.0,0.0,2021-02-09
289.0,0.0,0.0,2021-02-09
479.0,756.0,372.0,2021-02-10
479.0,0.0,372.0,2021-02-10
547.0,715.0,472.0,2021-02-11
547.0,0.0,472.0,2021-02-11
609.0,647.0,309.0,2021-02-12
609.0,0.0,309.0,2021-02-12
547.0,684.0,340.0,2021-02-13
547.0,395.0,340.0,2021-02-13
562.0,256.0,162.0,2021-02-14
562.0,60.0,162.0,2021-02-14
449.0,263.0,0.0,2021-02-15
449.0,0.0,0.0,2021-02-15
212.0,479.0,0.0,2021-02-16
412.0,0.0,12.0,2021-02-17
448.0,609.0,74.0,2021-02-18
489.0,0.0,94.0,2021-02-19
671.0,562.0,212.0,2021-02-20
535.0,0.0,31.0,2021-02-21
551.0,565.0131104030969,551.2703287892813,2021-02-22
551.0,514.6141092495229,512.2513589320469,2021-02-22
275.0,249.0,0.0,2021-02-23
275.0,295.0,0.0,2021-02-23
480.0,27.0,0.0,2021-02-24
480.0,435.0,0.0,2021-02-24
667.0,286.0,295.0,2021-02-25
667.0,81.0,295.0,2021-02-25
561.0,555.0,23.0,2021-02-26
561.0,414.0,23.0,2021-02-26
627.0,0.0,156.0,2021-02-27
627.0,535.0,156.0,2021-02-27
619.0,0.0,0.0,2021-02-28
619.0,551.0,0.0,2021-02-28
460.0,19.0,0.0,2021-03-01
460.0,247.0,0.0,2021-03-01
