truth,pred,pred_sir,fecha
0.0,0.0,0.0,2020-12-28
547.0,475.0,142.0,2020-12-29
142.0,484.0,318.0,2020-12-30
240.0,152.0,0.0,2020-12-31
0.0,47.0,0.0,2021-01-01
0.0,14.0,0.0,2021-01-02
0.0,4.0,0.0,2021-01-03
0.0,548.0,0.0,2021-01-04
507.0,317.0,136.0,2021-01-05
113.0,341.0,313.0,2021-01-06
210.0,108.0,0.0,2021-01-07
119.0,34.0,0.0,2021-01-08
126.0,10.0,0.0,2021-01-09
0.0,3.0,0.0,2021-01-10
0.0,0.0,0.0,2021-01-11
0.0,0.0,0.0,2021-01-11
229.0,0.0,47.0,2021-01-12
229.0,113.0,47.0,2021-01-12
125.0,246.0,311.0,2021-01-13
125.0,81.0,311.0,2021-01-13
175.0,145.0,0.0,2021-01-14
175.0,43.0,0.0,2021-01-14
80.0,140.0,0.0,2021-01-15
80.0,53.0,0.0,2021-01-15
124.0,17.0,0.0,2021-01-16
124.0,0.0,0.0,2021-01-16
0.0,0.0,0.0,2021-01-17
0.0,0.0,0.0,2021-01-17
0.0,229.0,0.0,2021-01-18
0.0,308.0,0.0,2021-01-18
