truth,pred,pred_sir,fecha
6857.0,7368.9702634246705,6780.858439370104,2021-04-19
6857.0,6860.282163264199,6911.92177740953,2021-04-19
6625.0,1815.0,2894.0,2021-04-20
6625.0,2349.0,2894.0,2021-04-20
8477.0,6173.0,2942.0,2021-04-21
8477.0,856.0,2942.0,2021-04-21
8132.0,6662.0,1889.0,2021-04-22
8132.0,0.0,1889.0,2021-04-22
7693.0,6537.0,2297.0,2021-04-23
7693.0,0.0,2297.0,2021-04-23
5574.0,7139.0,1866.0,2021-04-24
5574.0,0.0,1866.0,2021-04-24
6252.0,6857.0,4124.0,2021-04-25
6252.0,2567.0,4124.0,2021-04-25
4429.0,3886.0,0.0,2021-04-26
4429.0,4261.0,0.0,2021-04-26
4709.0,3665.0,0.0,2021-04-27
7651.0,4025.0,3061.0,2021-04-28
5734.0,3185.0,2420.0,2021-04-29
5929.0,2037.0,1775.0,2021-04-30
3901.0,4010.0,2414.0,2021-05-01
4453.0,54.0,2405.0,2021-05-02
8091.0,4650.0,0.0,2021-05-03
6662.0,2257.0,0.0,2021-05-04
6220.0,3141.0,1422.0,2021-05-05
5257.0,2329.0,973.0,2021-05-06
5562.0,1258.0,505.0,2021-05-07
5327.0,3041.0,1297.0,2021-05-08
4611.0,4714.0,1434.0,2021-05-09
4795.0,1483.0,0.0,2021-05-10
