truth,pred,pred_sir,fecha
1566.0,1508.7658937786946,1716.1074391792183,2020-12-28
2082.0,3365.0,2351.0,2020-12-29
3329.0,5722.0,4568.0,2020-12-30
6042.0,6276.0,4374.0,2020-12-31
7622.0,6211.0,4215.0,2021-01-01
6943.0,3243.0,1322.0,2021-01-02
3234.0,2628.0,1726.0,2021-01-03
3376.0,2942.0,184.0,2021-01-04
4361.0,4292.0,2582.0,2021-01-05
4948.0,7441.0,4827.0,2021-01-06
10016.0,10022.0,4673.0,2021-01-07
9916.0,10123.0,4538.0,2021-01-08
10181.0,6391.0,1674.0,2021-01-09
9475.0,5352.0,2102.0,2021-01-10
7497.0,7721.394948956612,8068.268492342726,2021-01-11
7497.0,7580.872970599626,7859.259698864194,2021-01-11
5591.0,2626.0,2500.0,2021-01-12
5591.0,5752.0,2500.0,2021-01-12
7250.0,11765.0,5235.0,2021-01-13
7250.0,4383.0,5235.0,2021-01-13
10546.0,11215.0,5100.0,2021-01-14
10546.0,4474.0,5100.0,2021-01-14
10686.0,11474.0,4965.0,2021-01-15
10686.0,4537.0,4965.0,2021-01-15
10654.0,10753.0,2121.0,2021-01-16
10654.0,4119.0,2121.0,2021-01-16
10938.0,8630.0,2570.0,2021-01-17
10938.0,3161.0,2570.0,2021-01-17
10378.0,4003.0,0.0,2021-01-18
10378.0,6674.0,0.0,2021-01-18
