truth,pred,pred_sir,fecha
1053.0,1136.992591184963,1071.2626352066131,2020-12-28
778.0,10459.0,10597.0,2020-12-29
8621.0,12730.0,10088.0,2020-12-30
9695.0,11384.0,8187.0,2020-12-31
11898.0,8543.0,5995.0,2021-01-01
10465.0,3710.0,2153.0,2021-01-02
2319.0,2140.0,2025.0,2021-01-03
1733.0,1404.0,8070.0,2021-01-04
901.0,9032.0,11598.0,2021-01-05
10332.0,12258.0,11103.0,2021-01-06
11059.0,15207.0,9218.0,2021-01-07
3283.0,14300.0,7041.0,2021-01-08
8297.0,5688.0,3221.0,2021-01-09
8017.0,3045.0,3123.0,2021-01-10
4846.0,4931.442414240044,4394.6116155093805,2021-01-11
4846.0,5329.171959114938,4488.923456647265,2021-01-11
1749.0,9825.0,7340.0,2021-01-12
1749.0,12526.0,7340.0,2021-01-12
5660.0,13681.0,12259.0,2021-01-13
5660.0,2881.0,12259.0,2021-01-13
6544.0,3839.0,10384.0,2021-01-14
6544.0,978.0,10384.0,2021-01-14
5544.0,8485.0,8186.0,2021-01-15
5544.0,3153.0,8186.0,2021-01-15
5025.0,8595.0,4404.0,2021-01-16
5025.0,2735.0,4404.0,2021-01-16
4212.0,5323.0,4345.0,2021-01-17
4212.0,1554.0,4345.0,2021-01-17
1634.0,789.0,0.0,2021-01-18
1634.0,1886.0,0.0,2021-01-18
