truth,pred,pred_sir,fecha
737.0,804.7591371929105,698.7190879724466,2021-01-11
737.0,775.7868699395566,791.5648531119538,2021-01-11
298.0,2016.0,1580.0,2021-01-12
298.0,2974.0,1580.0,2021-01-12
1813.0,4118.0,2129.0,2021-01-13
1813.0,1129.0,2129.0,2021-01-13
2054.0,3143.0,2116.0,2021-01-14
2054.0,1129.0,2116.0,2021-01-14
1755.0,2307.0,1862.0,2021-01-15
1755.0,757.0,1862.0,2021-01-15
1504.0,2025.0,471.0,2021-01-16
1504.0,714.0,471.0,2021-01-16
1499.0,890.0,746.0,2021-01-17
1499.0,233.0,746.0,2021-01-17
529.0,166.0,0.0,2021-01-18
529.0,334.0,0.0,2021-01-18
262.0,1626.0,872.0,2021-01-19
1766.0,1142.0,1897.0,2021-01-20
1554.0,1099.0,1443.0,2021-01-21
1335.0,868.0,682.0,2021-01-22
1397.0,995.0,548.0,2021-01-23
1496.0,0.0,0.0,2021-01-24
492.0,498.1073052982644,487.6922941930169,2021-01-25
492.0,501.4645495630776,484.9948813837778,2021-01-25
407.0,1662.0,338.0,2021-01-26
407.0,1240.0,338.0,2021-01-26
1591.0,829.0,1408.0,2021-01-27
1591.0,1290.0,1408.0,2021-01-27
1879.0,579.0,998.0,2021-01-28
1879.0,1150.0,998.0,2021-01-28
1565.0,1027.0,940.0,2021-01-29
1565.0,791.0,940.0,2021-01-29
1262.0,1026.0,181.0,2021-01-30
1262.0,1154.0,181.0,2021-01-30
1331.0,0.0,0.0,2021-01-31
1331.0,492.0,0.0,2021-01-31
563.0,98.0,0.0,2021-02-01
563.0,370.0,0.0,2021-02-01
