truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-01-11
0.0,0.0,0.0,2021-01-11
61421.0,8658.0,19057.0,2021-01-12
61421.0,26286.0,19057.0,2021-01-12
25437.0,7795.0,15609.0,2021-01-13
25437.0,0.0,15609.0,2021-01-13
38869.0,42360.0,16020.0,2021-01-14
38869.0,21464.0,16020.0,2021-01-14
35876.0,31719.0,3572.0,2021-01-15
35876.0,9665.0,3572.0,2021-01-15
40196.0,2789.0,3768.0,2021-01-16
40196.0,0.0,3768.0,2021-01-16
0.0,0.0,3957.0,2021-01-17
0.0,0.0,3957.0,2021-01-17
0.0,61421.0,0.0,2021-01-18
0.0,79032.0,0.0,2021-01-18
84286.0,0.0,13803.0,2021-01-19
34293.0,38869.0,0.0,2021-01-20
41580.0,15998.0,32391.0,2021-01-21
44354.0,32003.0,15680.0,2021-01-22
42884.0,0.0,0.0,2021-01-23
0.0,0.0,0.0,2021-01-24
0.0,0.0,0.0,2021-01-25
0.0,0.0,0.0,2021-01-25
93824.0,710.0,8526.0,2021-01-26
93824.0,34113.0,8526.0,2021-01-26
36435.0,23477.0,0.0,2021-01-27
36435.0,35528.0,0.0,2021-01-27
40283.0,25329.0,27417.0,2021-01-28
40283.0,37692.0,27417.0,2021-01-28
34900.0,32526.0,37538.0,2021-01-29
34900.0,24696.0,37538.0,2021-01-29
38115.0,0.0,0.0,2021-01-30
38115.0,0.0,0.0,2021-01-30
0.0,0.0,0.0,2021-01-31
0.0,0.0,0.0,2021-01-31
2.0,93824.0,0.0,2021-02-01
2.0,64035.0,0.0,2021-02-01
