truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-01-25
0.0,0.0,0.0,2021-01-25
4325.0,126.0,1012.0,2021-01-26
4325.0,2227.0,1012.0,2021-01-26
1893.0,1611.0,2031.0,2021-01-27
1893.0,2393.0,2031.0,2021-01-27
2216.0,992.0,1397.0,2021-01-28
2216.0,1991.0,1397.0,2021-01-28
1706.0,1719.0,1642.0,2021-01-29
1706.0,1280.0,1642.0,2021-01-29
1928.0,0.0,0.0,2021-01-30
1928.0,0.0,0.0,2021-01-30
4.0,0.0,0.0,2021-01-31
4.0,0.0,0.0,2021-01-31
6.0,4325.0,0.0,2021-02-01
6.0,3354.0,0.0,2021-02-01
3778.0,1127.0,1138.0,2021-02-02
1643.0,1959.0,1700.0,2021-02-03
1805.0,1264.0,1240.0,2021-02-04
1768.0,1641.0,1260.0,2021-02-05
1590.0,0.0,0.0,2021-02-06
5.0,6.0,0.0,2021-02-07
5.0,4.954165268348398,5.365211462910629,2021-02-08
5.0,5.45506414537356,5.018925678637165,2021-02-08
3284.0,1643.0,785.0,2021-02-09
3284.0,0.0,785.0,2021-02-09
1380.0,1805.0,1371.0,2021-02-10
1380.0,0.0,1371.0,2021-02-10
1609.0,1768.0,931.0,2021-02-11
1609.0,0.0,931.0,2021-02-11
1364.0,1590.0,971.0,2021-02-12
1364.0,0.0,971.0,2021-02-12
1262.0,5.0,0.0,2021-02-13
1262.0,3.0,0.0,2021-02-13
5.0,4.0,0.0,2021-02-14
5.0,0.0,0.0,2021-02-14
9.0,3284.0,0.0,2021-02-15
9.0,0.0,0.0,2021-02-15
