truth,pred,pred_sir,fecha
48200.0,49251.66517617577,45164.52198879579,2021-02-22
48200.0,43439.80091779829,43469.50210287714,2021-02-22
53592.0,0.0,0.0,2021-02-23
53592.0,52862.0,0.0,2021-02-23
66656.0,0.0,0.0,2021-02-24
66656.0,60567.0,0.0,2021-02-24
66025.0,0.0,40708.0,2021-02-25
66025.0,61185.0,40708.0,2021-02-25
66566.0,0.0,11330.0,2021-02-26
66566.0,62804.0,11330.0,2021-02-26
64020.0,0.0,12653.0,2021-02-27
64020.0,61979.0,12653.0,2021-02-27
59237.0,0.0,6892.0,2021-02-28
59237.0,48200.0,6892.0,2021-02-28
44635.0,1036.0,0.0,2021-03-01
44635.0,51552.0,0.0,2021-03-01
47591.0,9148.0,12987.0,2021-03-02
53702.0,55771.0,23165.0,2021-03-03
60619.0,4179.0,25782.0,2021-03-04
60827.0,59335.0,29372.0,2021-03-05
60354.0,0.0,30417.0,2021-03-06
54300.0,44635.0,18503.0,2021-03-07
36940.0,37177.098718962945,40211.254277838096,2021-03-08
36940.0,38006.07825971595,38523.24726441818,2021-03-08
42631.0,26056.0,62680.0,2021-03-09
42631.0,22858.0,62680.0,2021-03-09
50720.0,33435.0,12536.0,2021-03-10
50720.0,40298.0,12536.0,2021-03-10
50429.0,12722.0,15959.0,2021-03-11
50429.0,53137.0,15959.0,2021-03-11
51242.0,28256.0,68431.0,2021-03-12
51242.0,26708.0,68431.0,2021-03-12
49234.0,22489.0,22006.0,2021-03-13
49234.0,40722.0,22006.0,2021-03-13
42353.0,0.0,10761.0,2021-03-14
42353.0,36940.0,10761.0,2021-03-14
29392.0,19940.0,144954.0,2021-03-15
29392.0,18632.0,144954.0,2021-03-15
