truth,pred,pred_sir,fecha,xprice
2637.0,2871.0327366086126,2732.8920257471773,2021-03-08,0
2637.0,2562.904466762615,2603.7906524337727,2021-03-08,0
4857.0,0.0,0.0,2021-03-09,0
4857.0,6693.0,0.0,2021-03-09,0
6713.0,1053.0,0.0,2021-03-10,0
6713.0,5960.0,0.0,2021-03-10,0
6945.0,1224.0,1073.0,2021-03-11,0
6945.0,5077.0,1073.0,2021-03-11,0
7439.0,0.0,4004.0,2021-03-12,0
7439.0,7434.0,4004.0,2021-03-12,0
7225.0,0.0,836.0,2021-03-13,0
7225.0,4344.0,836.0,2021-03-13,0
5639.0,0.0,0.0,2021-03-14,0
5639.0,2637.0,0.0,2021-03-14,0
3583.0,99.0,0.0,2021-03-15,0
3583.0,4755.0,0.0,2021-03-15,0
6134.0,0.0,0.0,2021-03-16,0
7637.0,6945.0,0.0,2021-03-17,0
7692.0,0.0,865.0,2021-03-18,0
7720.0,7225.0,2503.0,2021-03-19,0
7245.0,0.0,416.0,2021-03-20,0
5904.0,3583.0,0.0,2021-03-21,0
3574.0,3715.266778848809,3259.649167120602,2021-03-22,0
3574.0,3693.204848200563,3695.971949203061,2021-03-22,0
6302.0,7282.0,0.0,2021-03-23,0
6302.0,1583.0,0.0,2021-03-23,0
8474.0,4756.0,0.0,2021-03-24,0
8474.0,3728.0,0.0,2021-03-24,0
7245.0,801.0,0.0,2021-03-25,0
7245.0,7052.0,0.0,2021-03-25,0
6736.0,0.0,1743.0,2021-03-26,0
6736.0,7245.0,1743.0,2021-03-26,0
11467.0,0.0,0.0,2021-03-27,0
11467.0,5904.0,0.0,2021-03-27,0
9204.0,0.0,1100.0,2021-03-28,0
9204.0,3574.0,1100.0,2021-03-28,0
7046.0,0.0,0.0,2021-03-29,0
7046.0,6302.0,0.0,2021-03-29,0
