truth,pred,pred_sir,fecha,xprice
2294.0,2512.7379872617266,2342.103124459027,2021-01-11,0
2294.0,2403.774130227941,2082.5793590862822,2021-01-11,0
1539.0,2072.0,1626.0,2021-01-12,0
1539.0,1329.0,1626.0,2021-01-12,0
1385.0,1927.0,605.0,2021-01-13,0
1385.0,2601.0,605.0,2021-01-13,0
1699.0,2252.0,1135.0,2021-01-14,0
1699.0,3321.0,1135.0,2021-01-14,0
2164.0,1182.0,1496.0,2021-01-15,0
2164.0,2271.0,1496.0,2021-01-15,0
1654.0,1397.0,521.0,2021-01-16,0
1654.0,2237.0,521.0,2021-01-16,0
1530.0,1695.0,74.0,2021-01-17,0
1530.0,2574.0,74.0,2021-01-17,0
1552.0,1965.0,0.0,2021-01-18,0
1552.0,1014.0,0.0,2021-01-18,0
1317.0,1554.0,1476.0,2021-01-19,0
1002.0,1960.0,1900.0,2021-01-20,0
1634.0,2494.0,2597.0,2021-01-21,0
1666.0,2073.0,1754.0,2021-01-22,0
1738.0,1879.0,1700.0,2021-01-23,0
1754.0,1869.0,2005.0,2021-01-24,0
1341.0,1282.748827362993,1239.136717717372,2021-01-25,0
1341.0,1286.3248009754393,1238.7427742235284,2021-01-25,0
1169.0,1143.0,1367.0,2021-01-26,0
1169.0,658.0,1367.0,2021-01-26,0
849.0,1748.0,1795.0,2021-01-27,0
849.0,1112.0,1795.0,2021-01-27,0
1322.0,1861.0,2495.0,2021-01-28,0
1322.0,1113.0,2495.0,2021-01-28,0
1477.0,1408.0,1226.0,2021-01-29,0
1477.0,1988.0,1226.0,2021-01-29,0
1375.0,2109.0,1604.0,2021-01-30,0
1375.0,1132.0,1604.0,2021-01-30,0
1331.0,1544.0,1912.0,2021-01-31,0
1331.0,888.0,1912.0,2021-01-31,0
1375.0,1330.0,0.0,2021-02-01,0
1375.0,781.0,0.0,2021-02-01,0
