truth,pred,pred_sir,fecha,xprice
1593.0,1641.460101822538,1571.149913529264,2021-01-11,0
1593.0,1719.339745438149,1550.80521179726,2021-01-11,0
979.0,1968.0,1308.0,2021-01-12,0
979.0,1387.0,1308.0,2021-01-12,0
2114.0,2686.0,1621.0,2021-01-13,0
2114.0,3515.0,1621.0,2021-01-13,0
2945.0,2112.0,1074.0,2021-01-14,0
2945.0,3333.0,1074.0,2021-01-14,0
2657.0,1304.0,895.0,2021-01-15,0
2657.0,2329.0,895.0,2021-01-15,0
2217.0,1477.0,0.0,2021-01-16,0
2217.0,2299.0,0.0,2021-01-16,0
2146.0,1067.0,0.0,2021-01-17,0
2146.0,1800.0,0.0,2021-01-17,0
1647.0,1331.0,0.0,2021-01-18,0
1647.0,679.0,0.0,2021-01-18,0
947.0,2249.0,1002.0,2021-01-19,0
1489.0,3395.0,2240.0,2021-01-20,0
3001.0,3337.0,2236.0,2021-01-21,0
2559.0,2886.0,1428.0,2021-01-22,0
2377.0,2726.0,1399.0,2021-01-23,0
2510.0,2195.0,1019.0,2021-01-24,0
1800.0,1776.9113730956258,1941.0924078056423,2021-01-25,0
1800.0,1910.229836056591,1873.399890074532,2021-01-25,0
1204.0,1610.0,790.0,2021-01-26,0
1204.0,1080.0,790.0,2021-01-26,0
1750.0,3225.0,2037.0,2021-01-27,0
1750.0,2188.0,2037.0,2021-01-27,0
2898.0,3016.0,2041.0,2021-01-28,0
2898.0,1802.0,2041.0,2021-01-28,0
2600.0,1927.0,1674.0,2021-01-29,0
2600.0,2784.0,1674.0,2021-01-29,0
2490.0,3099.0,1219.0,2021-01-30,0
2490.0,1738.0,1219.0,2021-01-30,0
2537.0,2165.0,845.0,2021-01-31,0
2537.0,1256.0,845.0,2021-01-31,0
2288.0,1464.0,0.0,2021-02-01,0
2288.0,830.0,0.0,2021-02-01,0
